Title,Labels
twitter india modi govt account suspended farmn laws protest. Democratic forces need to develop new norms for managing digital world,"10,6"
niti aayog ngt chamoli flash flood sc judgments. Message from the hills  Eco-fragility must be respected,"1,2"
union budget tax compliance economy gdp growth. Budget signals focus on increasing transparency,3
congress farmers protest msp regime farm laws. Congress has forgotten its record in weakening MSP regime,"1,7"
water recycle irrigation pollution. Steps need to be taken to use wastewater for aquaculture and irrigation,"1,7"
worlds oldest beer factory ancient egypt. Beer before bread,5
caa bjp assam election amit shah bengal. Return of CAA,"2,9,10"
union budget tax compliance economy gdp growth. Budget signals focus on improving tax compliance  increasing transparency,3
niti aayog ngt chamoli flash flood sc judgments. Message from hills  Eco-fragility must be respected  environment-development binary must be transcended,"1,2"
disha ravi arrest farmers protest toolkit greta thunberg. Toolkit justice,"2,7"
congress farmers protest msp regime farm laws. Congress has conveniently forgotten its record in dismantling and weakening the MSP regime,"7,9,10"
farm laws protest women farmers are at delhi borders as equal stakeholders demanding a voice. Women farmers are at Delhi borders as equal stakeholders  demanding a voice,"7,9,10"
twitter india modi govt account suspended farmn laws protest. Democracies must modernise their laws to protect freedoms in the era of technological transformation,"10,6"
atal talks with pakistan kashmir issue forty years ago. February 16  1981  Forty Years Ago  Atal wanted talks,"10,5"
union budget 2021 women frontline workers. Budgeting for women,3
state must not defame youth standing with farmers its the future they are fighting for. State must not defame youth standing with farmers. It s the future they are fighting for,"7,9,10"
industrial revolution agriculture sector farmers protests. In the backdrop of the challenges of fourth industrial revolution  agriculture needs disruptive digital thinking,"7,9,10"
farmers protest bjp modi govt farm laws. Agri-market freedom  water accounting could address few problems of agriculture in India,"7,9,10"
cji appointment sc collegium sa bobde retirement njac. Injudicious impasse,"2,10"
bihar covid testing data coronavirus cases. Slipping up,8
manual scavengers covid vaccination frontline sanitation workers. Vaccination of manual scavengers must be prioritised,"8,9"
finance commission states share for centres expenditure. Finance Commission dips into states  share for Centre s expenditure  makes system more discretionary,3
sixth five year plan planning commission ndc n d tiwari forty years ago. February 15  1981  Forty Years Ago  Sixth Plan Approved,"3,10"
india africa and climate diplomacy. India  Africa and climate diplomacy,"1,11"
